nom,vi
𢆥迡拱拯𠫾兜𦓡迡,năm chầy cũng chẳng đi đâu mà chầy
拱春正月改元大赦,củng xuân chính nguyệt cải nguyên đại xá
九月移杲田罪人就清化湘没,cửu nguyệt di cảo điền tội nhân tựu thanh hoá tương một
𡗶 撑 𣱾 𣱾 𦝄 冲,trời xanh leo lẻo trăng trong
固 辰 恾 𥙩 㗂 𢱖 𢬣 𥪝 被,có thì mang lấy tiếng múa tay trong bị
城,thành
妸箕𤵺󰞺󱉁排,gã kia dại nết chơi bời
六月詔群臣及官職都監于大興門外,lục nguyệt chiếu quần thần cập quan chức đô giám vu đại hưng môn ngoại
冬十月渭龍州叛附于蠻,đông thập nguyệt vị long châu phản phụ vu man
帝使太尉楊英珥徃捕得之,đế sử thái uý dương anh nhĩ vãng bổ đắc chi
及将近敬章船敬章疑為豪郡公得勝而回乃迎之,cập tương cận kính chương thuyền kính chương nghi vi hào quận công đắc thắng nhi hồi nãi nghênh chi
占城獻獅子,chiêm thành hiến sư tử
陳克終諫曰沱江號瘴地又湍瀨奔駃駃音?跳躍也不,trần khắc chung gián viết đà giang hiệu chướng địa hựu đoan lại bôn khoái vechu âm unk khiêu dược dã bất
臨淄𠊛𡳵払群𢖵空,lâm truy người cũ chàng còn nhớ không
漢未宗室相亂南人率宗室相聚爲兵以自衛故名宗兵,hán vị tôn thất tương loạn nam nhân suất tôn thất tương tụ vi binh dĩ tự vệ cố danh tông binh
鄭萼被執暠欲授以官萼不,trịnh ngạc bị chấp cảo dục thụ dĩ quan ngạc bất
群𡗉女𡗋牢陀脱朱,còn nhiều nợ lắm sao đà thoát cho
國子監祭酒兼文明殿大學士阮伯驥卒,quốc tử giám tế tửu kiêm văn minh điện đại học sĩ nguyễn bá ký tốt
帝亦目乂安至軍容整肅方潮强風勁令諸軍守樁,đế diệc mục nghệ an chí quân dung chỉnh túc phương triều cường phong kình lệnh chư quân thủ thung
𦰤撩簾󰞺竹𤷍梠䜹,lau treo rèm nát trúc cài phên thưa
期,kỳ
旦茹畧-呐崇朱明,đến nhà trước liệu nói sòng cho minh
帝但以師稱而不名,đế đản dĩ sư xưng nhi bất danh
况珍禽異獸不育於國亦先王之遺戒也,huống chân cầm dị thú bất dục ư quốc diệc tiên vương chi di giới dã
保威私於宫人竊之,bảo uy tư ư cung nhân thiết chi
自入富良侯家村,tự nhập phú lương hầu gia thôn
自陛下始從古為之有也,tự bệ hạ thuỷ tòng cổ vị chi hữu dã
威王聽󰰾乃率手足四五人共入㨿山峙,uy vương thính bãi nãi suất thủ túc tứ ngũ nhân cộng nhập cứ sơn trì
易,dễ
兜低,đâu đây
經營十餘年困衡幾餘度,kinh dinh thập dư niên khốn hành kỷ dư độ
道人伏𠓀凈𡊨,đạo nhân phục trước tĩnh đàn
流民蹐地而啣冤闔境告天而無路,lưu dân tích địa nhi hàm oan hạp cảnh cáo thiên nhi vô lộ
買 傳 妸 珠 竜 侯,mấy truyền ả châu long hầu
五月初八日上親御正殿,ngũ nguyệt sơ bát nhật thượng thân ngự chính điện
六月莫登庸自古齋入京逼帝禅位,lục nguyệt mạc đăng dung tự cổ trai nhập kinh bức đế thiền vị
東西南北攸同諒無思而不服溥博淵泉時出宜敷政以在寬,đông tây nam bắc du đồng lạng vô tư nhi bất phục phổ bác uyên tuyền thời xuất nghi phu chính dĩ tại khoan
是以人有不足於已即推之於杲下人有不逆於已即置之於膝上物論未諧非為此󰊹,thị dĩ nhân hữu bất túc ư dĩ tức suy chi ư cảo hạ nhân hữu bất nghịch ư dĩ tức trí chi ư tất thượng vật luận vị hài phi vi thử dư
族子也放走得免至州少時暴頞渴死,tộc tử dã phóng tẩu đắc miễn chí châu thiểu thời bạo át khát tử
清乃上疏,thanh nãi thượng sớ
矯公遣於吏低,kiều công khiến ở lại đây
固 𢚸 渚 客 咍 空 咳 船,có lòng chớ khách hay không hỡi thuyền
諸路豪傑皆響應惟三江知府杜維忠維忠洮江土豪保養明官不從而以,chư lộ hào kiệt giai hưởng ứng duy tam giang tri phủ đỗ duy trung duy trung thao giang thổ hào bảo dưỡng minh quan bất tòng nhi dĩ
丈夫率㐌動𢚸𦊚方,trượng phu thoắt đã động lòng bốn phương
爸媽,ba má
𠀲時抯𠰘𠀲時𢯏𪘵,đứa thì vả miệng đứa thì bẻ răng
爫朱酷害󰝸戈爲钱,làm cho khốc hại chẳng qua vì tiền
𨁪車馭㐌󰷳瀘𣻕撑,dấu xe ngựa đã rêu lờ mờ xanh
𠬠𠊛扵府潘章,một người ở phủ phanchương
房冲倍𨄹蓮鐄𨀈𦋦,phòng trong vội dạo sen vàng bước ra
順天凣六,thuận thiên phàm lục
䋦浪當價𠦳鐄,mối rằng đáng giá nghìn vàng
高王寤以語僚属有詩曰美矣交州地悠悠萬載來,cao vương ngộ dĩ ngữ liêu thuộc hữu thi viết mĩ hĩ giao châu địa du du vạn tải lai
寔 冲 伴 同 門,thực trong bạn đồng môn
丁未十四年帝仍應天年號宋景德四年,đinh mùi thập tứ niên đế nhưng ứng thiên niên hiệu tống cảnh đức tứ niên
遵守𭓇䂓習肄課業期於成材以資國用,tuân thủ học quy tập dị khoá nghiệp kì ư thành tài dĩ tư quốc dụng
常𣈜,thường ngày
謝𢚸𥛉畧𡑝𫡮,tạ lòng lạy trước sân mây
飭尼㐌易爫之特饒,sức này đã dễ làm gì được nhau
二十六日治陳日覈傾危社則罪,nhị thập lục nhật trị trần nhật hạch khuynh nguy xã tắc tội
二十日又遣陳封梁如鵠陳伯齡等往明國求封,nhị thập nhật hựu khiển trần phong lương như hộc trần bá linh đẳng vãng minh quốc cầu phong
夏四月帝幸應豊行宫省耕,hạ tứ nguyệt đế hạnh ứng phong hành cung tỉnh canh
固調之女麻𪟽,có điều chi nữa mà ngờ
順天三年封開天王居于外,thuận thiên tam niên phong khai thiên vương cư vu ngoại
帝善於繼承誠心愛民重農恤刑柔遠䏻邇置博士科厚養廉禮文脩武備海内謐寕足爲良主然疲民力以築報天之塔費民財以造霪潭之宫此其所短也,đế thiện ư kế thừa thành tâm ái dân trọng nông tuất hình nhu viễn năng nhĩ trí bác sĩ khoa hậu dưỡng liêm lễ văn tu vũ bị hải nội mật ninh túc vi lương chủ nhiên bì dân lực dĩ trúc báo thiên chi tháp phí dân tài dĩ tạo dâm đàm chi cung thử kì sở đoản dã
二十二日帝崩,nhị thập nhị nhật đế băng
六月以生日為天保聖節,lục nguyệt dĩ sinh nhật vi thiên bảo thánh tiết
朱咍𰿘事在𡗶,cho hay muôn sự tại trời
局 𢝙 吏 捽 同 交 歡,cuộc vui lại rót đồng giao hoan
群情󰠲女麻𫌵帝催,còn tình đâu nữa mà thù đấy thôi
帝聞松有羙色󰱇入後宫生皇子而早没,đế văn tùng hữu mĩ sắc tuyển nhập hậu cung sinh hoàng tử nhi tảo một
賊船横流溺屍塞江噐械填委出間擒都司朱傑斬前鋒将都司黄誠俘獲賊軍以千數,tặc thuyền hoành lưu nịch thi tắc giang khí giới điền uỷ xuất gian cầm đô ti chu kiệt trảm tiền phong tướng đô ti hoàng thành phù hoạch tặc quân dĩ thiên sổ
迺於徃年冬十一月二十七日得風腫疾,nãi ư vãng niên đông thập nhất nguyệt nhị thập thất nhật đắc phong thũng tật
萬里梯航跋涉寕辝於海島九霄日月瞻依快覩於天顔,vạn lí thê hàng bạt thiệp ninh từ ư hải đảo cửu tiêu nhật nguyệt chiêm y khoái đổ ư thiên nhan
一皇宗功臣掖庭勢家與國同休戚當體朝廷愛養生民之意,nhất hoàng tôn công thần dịch đình thế gia dữ quốc đồng hưu thích đương thể triều đình ái dưỡng sinh dân chi ý
是年以黎端之為户部尚書佐國侯阮如堵爲吏部尚書兼國子監祭酒黎永為北軍都督府左都督棠溪侯阮舘為中軍都督府右都督荗敬子黎旋為駙馬都尉紫嚴伯阮滋至為海陽,thị niên dĩ lê đoan chi vi hộ bộ thượng thư tá quốc hầu nguyễn như đổ vi lại bộ thượng thư kiêm quốc tử giám tế tửu lê vĩnh vi bắc quân đô đốc phủ tả đô đốc đường khê hầu nguyễn quán vi trung quân đô đốc phủ hữu đô đốc mậu kính tử lê tuyền vi phò mã đô uý tử nghiêm bá nguyễn tư chí vi hải dương
至光順元年冬十月二十四日招魂塟于籃山穆陵廟號仁宗其上尊睿號曰欽文仁孝宣明聰睿宣皇帝,chí quang thuận nguyên niên đông thập nguyệt nhị thập tứ nhật chiêu hồn táng vu lam sơn mục lăng miếu hiệu nhân tông kì thượng tôn duệ hiệu viết khâm văn nhân hiếu tuyên minh thông duệ tuyên hoàng đế
節制鄭松𭁈諸将謀曰今莫悉起大兵而來其要必欲𭁈我交一戦以决雌䧺,tiết chế trịnh tùng dữ chư tướng mưu viết kim mạc tất khởi đại binh nhi lai kì yếu tất dục dữ ngã giao nhất chiến dĩ quyết thư hùng
𣌋 於 帝 𢭗 𠇮,sớm ở đấy nương mình
帝,đế
日午智果從山路來伏兵夾擊破之,nhật ngọ trí quả tòng sơn lộ lai phục binh giáp kích phá chi
今還至󰱕音貪水名幸愛州討筥隆賊,kim hoàn chí tham âm tham thuỷ danh hạnh ái châu thảo cử long tặc
斬賊首級俘賊兵卒獲,trảm tặc thủ cấp phu tặc binh tốt hoạch
可與也,khả dữ dã
多値,đa trị
明宗占小詩示之曰診脉休論煩悶多鄒公良劑要調和若言煩悶無休歇只恐重招煩悶加,minh tông chiêm tiểu thi thị chi viết chẩn mạch hưu luận phiền muộn đa trâu công lương tễ yếu điều hoà nhược ngôn phiền muộn vô hưu yết chỉ khủng trùng chiêu phiền muộn gia
即至灵竜洞社縣其先祖莫挺之陳朝状元官至左僕射,tức chí linh long động xã huyện kì tiên tổ mạc đĩnh chi trần triều trạng nguyên quan chí tả bộc xạ
玉寶乃黄之姊也,ngọc bảo nãi hoàng chi tỉ dã
奉差統率分守要道有功陞鄭棟爲太傅鄭榩爲少尉,phụng sai thống suất phân thủ yếu đạo hữu công thăng trịnh đống vi thái phó trịnh kiền vi thiếu uý
請築鯨鯢之觀思垂竹帛之功,thỉnh trúc kình nghê chi quan tư thuỳ trúc bạch chi công
元至正元年春以阮忠彦為京師大尹〇,nguyên chí chính nguyên niên xuân dĩ nguyễn trung ngạn vi kinh sư đại doãn 
准 閨 門 𢖮 固 分 榮,chốn khuê môn ắt có phần vang
史臣吳士連曰當是時劉禹你有失律䘮師之罪反献祥瑞以揜之而無一人敢論者可見刑政之多非,sử thần ngô sĩ liên viết đương thị thời lưu vũ nhĩ hữu thất luật táng sư chi tội phản hiến tường thuỵ dĩ yểm chi nhi vô nhất nhân cảm luận giả khả kiến hình chính chi đa phi
遣官分祭處山川廟社神祗及先朝陵寝,khiển quan phân tế xứ sơn xuyên miếu xã thần kì cập tiên triều lăng tẩm
取中格武勉等四名,thủ trúng cách vũ miễn đẳng tứ danh
至是卒,chí thị tốt
秋八月競舟,thu bát nguyệt cạnh chu
自此以後三年一大此率以爲常中󰱇者並賜進士出身,tự thử dĩ hậu tam niên nhất đại thử suất dĩ vi thường trúng tuyển giả tịnh tứ tiến sĩ xuất thân
尚其祇膺重眷恪慎令名惟賛皇圖永永萬年益衍王業綿綿億載,thượng kì chỉ ưng trọng quyến khác thận lệnh danh duy tán hoàng đồ vĩnh vĩnh vạn niên ích diễn vương nghiệp miên miên ức tải
礼󰑼掃墓噲󰑼踏晴,lễ là tảo mộ gọi là đạp thanh
每歲春三月七日士女會于寺爲一方勝逰後人訛以爲僧忌日,mỗi tuế xuân tam nguyệt thất nhật sĩ nữ hội vu tự vi nhất phương thắng du hậu nhân ngoa dĩ vi tăng kị nhật
夙姻時拱固𡗶於𥪞,túc nhân thì cũng có trời ở trong
𠰺 朱 𥺊 蒌 荼,dạy cho gạo rau dưa
𢌌傷群𤗖紅裙,rộng thương còn mảnh hồng quần
一九年之内既以别功陞級通考又稱職應,nhất cửu niên chi nội ký dĩ biệt công thăng cấp thông khảo hựu xứng chức ứng
春二月起天慶殿于長春殿前為聽政之所,xuân nhị nguyệt khởi thiên khánh điện vu trường xuân điện tiền vi thính chính chi sở
蓓芇朱濁特𠇮𧘇爲,bụi nào cho đục được mình ấy vay
仁宗委之宥府出鎮䧺藩,nhân tông uỷ chi hựu phủ xuất trấn hùng phiên
自乙未至是歲凣二年米一升直錢一陌,tự ất mùi chí thị tuế phàm nhị niên mễ nhất thăng trực tiền nhất mạch
咹 菓 𢖵 几 𥠭 𣘃,ăn quả nhớ kẻ trồng cây
丁卯五年明政統十二年,đinh mão ngũ niên minh chính thống thập nhị niên
每夜乘肩輿與侍衛十數人遍歷畿内鷄鳴乃還宫,mỗi dạ thừa khiên dư dữ thị vệ thập số nhân biến lịch kì nội kê minh nãi hoàn cung
窖 坦 補 荒 𧵑 産 𫼳 𤼸,khéo đất bỏ hoang của sẵn mang dâng
旨揮禁内密官属御前将校軍人色役不得𭁈文武外任交結徃來漏泄内事,chỉ huy cấm nội mật quan thuộc ngự tiền tướng hiệu quân nhân sắc dịch bất đắc dữ văn vũ ngoại nhiệm giao kết vãng lai lậu tiết nội sự
悉令還之,tất lệnh hoàn chi
宏郡公乃棄船陸走到布政爲莫将阮倦所獲㱕京邑遂遇害,hoành quận công nãi khí thuyền lục tẩu đáo bố chính vi mạc tướng nguyễn quyện sở hoạch quy kinh ấp toại ngộ hại
一皷而平驩化再皷而定演愛,nhất cổ nhi bình hoan hoá tái cổ nhi định diễn ái
灡秋水濕春山,làn thu thuỷ thấp xuân sơn
上皇御重光宫刑部郎中費直扈從,thượng hoàng ngự trùng quang cung hình bộ lang trung phí trực hộ tòng
仍 𠳒 制 每 塘 箕,những nhời chế mọi đường kia
妑内,bà nội
欽頒色旨旦尼停停,khâm ban sắc chỉ đến nơi rành rành
十六日塟憲宗于建昌安陵,thập lục nhật táng hiến tông vu kiến xương an lăng
夏賜月詔華文𭓇生間有年深贈經差幹或從征有功者如各衙門出身吏例吏部銓除,hạ tứ nguyệt chiếu hoa văn học sinh gian hữu niên thâm tằng kinh sai cán hoặc tòng chinh hữu công giả như các nha môn xuất thân lại lệ lại bộ thuyên trừ
吝蹺𡶀假𠫾妄,lần theo núi giả đi vòng
定田籍徵租每畝三升級軍糧,định điền tịch trưng tô mỗi mẫu tam thăng cấp quân lương
玉󱗲奔思明府稱臣于明,ngọc liễn bôn tư minh phủ xưng thần vu minh
花 鮮 如 樣 花 唭 客,hoa tươi như dáng hoa cười khách
城市,thành thị
𠎣洲此一洲百部笙𰙔禽百舌天行奴僕橘千頭月無事照人無事水有秋涵天有秋四海已清塵以靜今年逰勝昔年逰,tiên châu thử nhất châu bách bộ sênh ca cầm bách thiệt thiên hàng nô bộc quất thiên đầu nguyệt vô sự chiếu nhân vô sự thuỷ hữu thu hàm thiên hữu thu tứ hải dĩ thanh trần dĩ tĩnh kim niên du thắng tích niên du
弱前項犯事止一二遭及相争訟田土敺鬪之類如律𬢱罪,nhược tiền hạng phạm sự chỉ nhất nhị tao cập tương tranh tụng điền thổ khu đấu chi loại như luật nghị tội
調󰅒沙淬庫巾,đều nay sa sút khó khăn
苔𡑝鎌捽𤎜𤍶,đầy sân gươm tuốt sáng loà
冰 傾 𫢩 待 枚 尋,bâng khuâng nay đợi mai tìm
𠬠 𡑝 槐 桂 聘 排 卒 鮮,một sân hoè quế sánh bầy tốt tươi
大行通滛君后至於偃然立以爲后羞惡之心忘矣,đại hành thông dâm quân hậu chí ư yển nhiên lập dĩ vi hậu tu ố chi tâm vong hĩ
然顧托非人禍及後嗣,nhiên cố thác phi nhân hoạ cập hậu tự
武文添,vũ văn thiêm
秋九月初十日上以鎮寧府金山縣與外夷接景鎮服宜求有力詔吏部作急󰱇官貟有才畧,thu cửu nguyệt sơ thập nhật thượng dĩ trấn ninh phủ kim sơn huyện dữ ngoại di tiếp cảnh trấn phục nghi cầu hữu lực chiếu lại bộ tác cấp tuyển quan viên hữu tài lược
民望遲留明宗曰可惜之物尚不可惜奚惜此為哉,dân vọng trì lưu minh tông viết khả tích chi vật thượng bất khả tích hề tích thử vi tai
有貪冗者如前令罷聀充廣南軍,hữu tham nhũng giả như tiền lệnh bãi chức sung quảng nam quân
上以丑寅二載百榖豊登協于歌詠,thượng dĩ sửu dần nhị tải bách cốc phong đăng hiệp vu ca vịnh
吸󰡤買𠳚湿高事𢚸,ngập ngừng mới gởi thấp cao sự lòng
地震,địa chấn
扲刀娘㐌筭排捐生,cầm dao nàng đã toan bài quyên sinh
夏四月初十日定廣南納税令,hạ tứ nguyệt sơ thập nhật định quảng nam nạp thuế lệnh
以越郡公鄭程倫郡公鄭栻德捃公鄭杭陵郡公鄭榜延郡公鄭枒洪郡公鄭榴等爲太保蘭郡公黄義肥扶郡公鄭櫟西郡公,dĩ việt quận công trịnh trình luân quận công trịnh thức đức quận công trịnh hàng lăng quận công trịnh bảng diên quận công trịnh nha hồng quận công trịnh lựu đẳng vi thái bảo lan quận công hoàng nghĩa phì phù quận công trịnh lịch tây quận công
十一月鄭㯀陶光饒黎有德等回兵于安塲,thập nhất nguyệt trịnh toàn đào quang nhiêu lê hữu đức đẳng hồi binh vu an trường
以中北衛同知黎棹為葵州經畧使黎其爲北江衞同知,dĩ trung bắc vệ đồng tri lê trạo vi quỳ châu kinh lược sứ lê kì vi bắc giang vệ đồng tri
段催娘買𠯇𢭂慇懃,đoạn thôi nàng mới rỉ trao ân cần
防筭󰝡𠺙彫船嘹𤽗,phòng toan đem thói điêu thuyền trêu ngươi
𫳵朱耻辱󰜋吝買催,sao cho sỉ nhục một lần mới thôi
璉帝長子微時常預難苦及定天下帝意欲傳位即封爲南越王又賞請命受封于宋,liễn đế trưởng tử vi thời thường dự nạn khổ cập định thiên hạ đế ý dục truyền vị tức phong vi nam việt vương hựu thưởng thỉnh mệnh thụ phong vu tống
至其勝敵而,chí kì thắng địch nhi
皇帝儷聖皇后為憲慈太上皇后,hoàng đế lệ thánh hoàng hậu vi hiến từ thái thượng hoàng hậu
公,công
和之怒進圍林邑將笵扶龍於區粟城,hoà chi nộ tiến vi lâm ấp tướng phạm phù long ư khu túc thành
𠸕𠻀歇各每塘,dặn dò hết các mọi đường
斁夫婦之偷乱三綱之道若之何而不生亂哉,dịch phu phụ chi thâu loạn tam cương chi đạo nhược chi hà nhi bất sinh loạn tai
丁亥七年元至正七年春正月朔日食〇,đinh hợi thất niên nguyên chí chính thất niên xuân chính nguyệt sóc nhật thực 
二月設春筵,nhị nguyệt thiết xuân diên
在位六年壽五十一塟永陵,tại vị lục niên thọ ngũ thập nhất táng vĩnh lăng
沛欺命吏㤕車浽命,phải khi mình lại xót xa nỗi mình
瓊 𧡊 布 劍 𦳦 買 𠳨,quỳnh thấy bố kém tươi mới hỏi
務 夏 海 海 𩙌 南 東,mùa hè hây hẩy gió nam đông
三月考積居職勤敏才幹不通文字爲一𩔗有文字才幹爲一𩔗年高行純洞識古今爲一𩔗以次授職使之治民管軍以𦤶官無濫冗,tam nguyệt khảo tích cư chức cần mẫn tài cán bất thông văn tự vi nhất loại hữu văn tự tài cán vi nhất loại niên cao hạnh thuần động thức cổ kim vi nhất loại dĩ thứ thụ chức sử chi trị dân quản quân dĩ trí quan vô lạm nhũng
多方曾為占城所虜後迯㱕,đa phương tằng vi chiêm thành sở lỗ hậu đào quy
徐公𦋦馭親迎𫔳外,từ công ra ngựa thân nghênh cửa ngoài
𪭯頭淪󰡎𠃅茹,cúi đầu luồn dưới mái nhà
秋七月御史中賛黎錫上疏曰夫兵者匈噐也不可躬自起戒矧今始平内賊勢如積瘡未痊主不可以私怒而興師将不可以要功而妄戰占城雖無臣妄之心宜命将討之以待天滅若車駕親征臣愚以為不可,thu thất nguyệt ngự sử trung tán lê tích thượng sớ viết phu binh giả hung khí dã bất khả cung tự khởi giới thẩn kim thuỷ bình nội tặc thế như tích sang vị thuyên chúa bất khả dĩ tư nộ nhi hưng sư tướng bất khả dĩ yêu công nhi vọng chiến chiêm thành tuy vô thần vọng chi tâm nghi mệnh tướng thảo chi dĩ đãi thiên diệt nhược xa giá thân chinh thần ngu dĩ vi bất khả
母后宣治強臣專國弱年庸主何以堪之,mẫu hậu tuyên trị cường thần chuyên quốc nhược niên dung chủ hà dĩ kham chi
𦊚皮坡𦹷調𡆫干戈,bốn bề bờ bụi đều vầy can qua
琅州自號召先生詐稱奉使論安南沿邉溪峒多從之友諒遂率其徒入㓂廣原州,lang châu tự hiệu triệu tiên sinh trá xưng phụng sứ luận an nam duyên biên khê động đa tòng chi hữu lượng toại suất kì đồ nhập khấu quảng nguyên châu
至是誅矯公羡自立為王都螺城,chí thị tru kiều công tiễn tự lập vi vương đô loa thành
󰟀𥢆𥢆仍湥洡,buồng riêng riêng những sụt sùi
蹺隊拱𡲤𠃣𡗉筆硯,theo đòi cũng vả ít nhiều bút nghiên
𧡊 几 奸 頑 䏾 吏 苔,thấy kẻ gian ngoan bụng lại đầy
𠬠万,một vạn
旨揮係文武豪傑等或遺逸沉滯失職無人薦舉,chỉ huy hệ văn vũ hào kiệt đẳng hoặc di dật trầm đái thất chức vô nhân tiến cử
洪福凣一,hồng phúc phàm nhất
為兒時逰學六祖寺僧萬行見而噐之曰此,vi nhi thời du học lục tổ tự tăng vạn hạnh kiến nhi khí chi viết thử
營拜見請罪,doanh bái kiến thỉnh tội
敢有縱酒亂性家道不齊無媒妁之言為踰墻之態抵罪,cảm hữu túng tửu loạn tính gia đạo bất tề vô môi chước chi ngôn vi du tường chi thái để tội
一人之天下也,nhất nhân chi thiên hạ dã
置勤農司屯田使副總路,trí cần nông ti đồn điền sứ phó tổng lộ
副使裴秉鈞卒于明,phó sứ bùi bỉnh quân tốt vu minh
若是其幾無所不至,nhược thị kì cơ vô sở bất chí
湯香󰡦幅帳紅泟花,thang hương rủ bức trướng hồng sạch hoa
逴󰡲唉暫𧿫娘𠬠尼,rước về hãy tạm giấu nàng một nơi
夏四月儂智髙叛僣稱仁惠皇帝,hạ tứ nguyệt nùng trí cao phản tiếm xưng nhân huệ hoàng đế
曰試為之,viết thí vi chi
下昭曰自古南越帝王治天下者有矣,hạ chiếu viết tự cổ nam việt đế vương trị thiên hạ giả hữu hĩ
即位三日爲同母第龍鋌所弑而崩壽二十三,tức vị tam nhật vi đồng mẫu đệ long đĩnh sở thí nhi băng thọ nhị thập tam
﨤 𣅶 𦋦 拱,gặp lúc ra cũng
有進生山羊者帝使騎象鬪之,hữu tiến sinh sơn dương giả đế sử kị tượng đấu chi
伏望聖慈召臣等於政事堂問臣等以軍國事何事宜行宜革務要責實無事虚文,phục vọng thánh từ triệu thần đẳng ư chính sự đường vấn thần đẳng dĩ quân quốc sự hà sự nghi hành nghi cách vụ yếu trách thực vô sự hư văn
𡲤冲㙴桂宮𦝄,vả trong thềm quế cung trăng
太尉阮熾病,thái uý nguyễn xí bệnh
若干人兵生者不計死者不除倘有軍旅徭役亦以田數用之,nhược can nhân binh sinh giả bất kế tử giả bất trừ thảng hữu quân lữ dao dịch diệc dĩ điền số dụng chi
時嫩尚兵勢猶強未易降服乃封嫩為懷道王分北江上下東岸等縣𭁈之亦約尚以王封刻期定盟尚不至〇,thời nộn thượng binh thế do cường vị dị hàng phục nãi phong nộn vi hoài đạo vương phân bắc giang thượng hạ đông ngạn đẳng huyện dữ chi diệc ước thượng dĩ vương phong khắc kì định minh thượng bất chí 
庒之苦𩛜於圭虚耒,chẳng chi khó đói ở quê hư rồi
雲仙英唉故知,vân tiên anh hỡi cố tri
形容沚淬袄巾妙揚,hình dung chải chuốt áo khăn dịu dàng
戊午五年明正統二年,mậu ngọ ngũ niên minh chính thống nhị niên 
交朱步卒扶娘𧗱畨,giao cho bộ tốt phù nàng về phiên
公浪幅像𠊚𠸗,công rằng bức tượng người xưa
奉此臣等窃照今年八月當鄕試期本月初十日恭遇天壽聖節,phụng thử thần đẳng thiết chiếu kim niên bát nguyệt đương hương thí kì bản nguyệt sơ thập nhật cung ngộ thiên thọ thánh tiết
庚辰十四年漢献帝恊刺史李進上言於漢帝曰率土之濱莫非王臣今建安五年,canh thìn thập tứ niên hán hiến đế hiệt thứ sử lí tiến thượng ngôn ư hán đế viết suất thổ chi tân mạc phi vương thần kim kiến an ngũ niên
佛 說 大 聖 末 刼 真 經,phât thuyết đại thánh mạt kiếp chân kinh
盘蹎,bàn chân
武帝在位七十一年,vũ đế tại vị thất thập nhất niên
時憲文󰱇等勵兵直進破逆䧺壘放火燒其營,thì hiến văn tuyển đẳng lệ binh trực tiến phá nghịch hùng luỹ phóng hoả thiêu kì doanh
彘源州平,trệ nguyên châu bình
帝御龍墀觀捕像,đế ngự long trì quan bổ tượng
都校點黎醯為鉄突右軍同總管右軍同總管黎囂為快路總管快路總知黎祜為南策下衛總知都旨揮使何梯為殿前都檢點㫖揮使范内為都旨揮旨揮副使黎篭為旨揮使,đô hiệu điểm lê ê vi thiết đột hữu quân đồng tổng quản hữu quân đồng tổng quản lê hiêu vi khoái lộ tổng quản khoái lộ tổng tri lê hỗ vi nam sách hạ vệ tổng tri đô chỉ huy sứ hà thê vi điện tiền đô kiểm điểm chỉ huy sứ phạm nội vi đô chỉ huy chỉ huy phó sứ lê lung vi chỉ huy sứ
責 𠊛 扵 萡 責 些 磊 辰,trách người ở bạc trách ta rủi thời
拱𡾵𠇮婦堂堂,cũng ngôi mệnh phụ đường đường
𢖵 茄 娘 拱 盘 桓 念 西,nhớ nhà nàng cũng bàn hoàn niềm tây
旬月間得眾數萬餘人徃安邦據洪盈寨,tuần nguyệt gian đắc chúng sổ vạn dư nhân vãng an bang cứ hồng doanh trại
埃埃𬂙体魂󰟹魄淶,ai ai trông thấy hồn kinh phách rời
鵠等默然,hộc đẳng mặc nhiên
𧊉 浪 此 𡑰 花,bướm rằng thử vườn hoa
縁 𠊚 吏 固 縁 𡗶 㵋 𢧚,duyên người lại có duyên trời mới nên
敬典納之賜檜,kính điển nạp chi tứ cối
因爫牢典世尼,nhân làm sao đến thế này
春正月十七日明英宗崩,xuân chính nguyệt thập thất nhật minh anh tông băng
帝自將禦之使士卒植樁捍江宋兵退復至支陵江,đế tự tướng ngự chi sử sĩ tốt thực thung hãn giang tống binh thoái phục chí chi lăng giang
秋七月雨免田租之半〇,thu thất nguyệt vũ miễn điền tô chi bán 
後承教承業行路官員百姓見於一里皆竄走入庯舍市肆家去後始出,hậu thừa giáo thừa nghiệp hành lộ quan viên bách tính kiến ư nhất lí giai thoán tẩu nhập phố xá thị tứ gia khứ hậu thuỷ xuất
自是漢始,tự thị hán thuỷ
今又拒違勑旨故違軍,kim hựu cự vi sắc chỉ cố vi quân
識者以爲黎民太祖得國之徵,thức giả dĩ vi lê dân thái tổ đắc quốc chi trưng
𠀧 生 朱 院 𨑮 願,ba sinh cho vẹn mười nguyền
实󰑼才子佳人,thực là tài tử giai nhân
可勝歎哉或曰胡氏上得君,khả thắng thán tai hoặc viết hồ thị thượng đắc quân
别 𣦍 浪 侈 𡥵 𪨅 尼 必 𠊛 才 應 𠓨 𡾵 𬁖 意,biết ngay rằng đứa con trẻ này tất người tài ứng vào ngôi sao ấy
行遣專用中官故也,hành khiển chuyên dụng trung quan cố dã
𥆾娘翁㐌𧖱沙𦛌油,nhìn nàng ông đã máu sa ruột dàu
拱饒根紊旦調,cùng nhau căn vặn đến điều
冬十月明開設學校及劄訪求儒醫隂陽僧道令府州縣以禮敦請從右參議彭道祥之言也〇,đông thập nguyệt minh khai thiết học hiệu cập tráp phỏng cầu nho y âm dương tăng đạo lệnh phủ châu huyện dĩ lễ đôn thỉnh tòng hữu tham nghị bành đạo tường chi ngôn dã 
但謂之,đản vị chi
三月廣南土鎮郡公卒,tam nguyệt quảng nam thổ trấn quận công tốt
