nom,vi
唒 花 𥉫 𧡊 拱 派 牟 紅,ẫ  ô ấ ũ  ầ ồ
群 庒 客 於 𡽫 𤂧,ò ă á ở  ồ
典 欺 嫁 半 時 些 蹺 𫯳,đế  ả á ì   ồ
顔 色 形 容 澄, ắ ì  ừ
𠸠 朋 縁 分 龍 冬,í ằ ê ậ  đ
鳳 凰 牢 塊 細 𣘃 𥟊 垌,ượ à  ỏ ớ â ô đồ
𧊉 浪 𨖲 𠳨 宮 𦝄,ướ ằ ê ỏ  ă
固 欺 拱 摱 赤 绳 車 緣,ó  ũ ượ í ằ  ê
蹺 𡥵 朱 凭 𬌓 𢚸 坚 貞,   ữ ấ ò ê 
𠳒 凣 𠳨 寔 客 仙,ờ à ỏ ự á ê
奉 蜍 𠄩 布 媄 𨉟,ụ ờ  ố ẹ ì
圭 𠸜 根 原 世 芇,ê ê ă ê ế à
欺 𣋚 欺 𣌋 𠰘 𫅜 𠰘 唁, ô  ớ ế à ế 
𣘃 徐 㭲 渃 徐 源,â ừ ố ướ ừ ồ
㤙 餒 義 𠰺 𫢩 群 𢖵 空,ơ ô ĩ ạ  ò ớ ô
㐌 朝 𠰘 吏 朝 𢚸,đã ề ệ ạ ề ò
𢝙 咍 𩈘 意 和 窮 㗂 箕,  ặ ấ à ù ế 
𤯩 時 腰 敬 每 皮,ố ờ ê í ọ ề
𣩂 時 傷 㤕 𠤆 兮 悁 恩,ế ờ ươ ó ớ ề ê ơ
奉 蜍 媄 𤴪 周 諄,ụ ờ ẹ ẻ  â
當 干 平 地 波 濤,đươ ơ ì đị  đà
拱 𥋳 如 𠎬 慈 親 生 𨉟,ũ  ư đấ ừ â  ì
𠫾 麻 吏 尋 𠓨 旦 低,đ à ạ ì à đế đâ
催 停 想 𩙌 𥉫 𩄲,ô đừ ưở ó ô â
姉 㛪 𡨸 情,ị  ữ ì
順 和 𨤰 沛 争 伶 咍 兜,ậ à ẽ ả  à  đâ
絲 秦 𥿗 晋 產 低 朱 耒,ơ ầ ỉ ấ ẵ đâ  ồ
花 浪 呐 拯 料 𠳒, ằ ó ẳ ệ ờ
縁 𠊚 吏 固 縁 𡗶 㵋 𢧚,ê ườ ạ ó ê ờ ớ ê
仕 𪨀 初 𣅶 𧴤 𠸜,ẩ ú ư ú ó ê
准 空 辰 准 願 庒 衝,ố ô ì ố ề ẳ 
𣅶 於 默 䋥 𪀄 鴻,ú ư ắ ướ  ồ
埃 咍 必 宰 别 𥪝 机 𡗶,  ấ ưở ế  ơ ờ
𦎛 塵 𥙩 帝 麻 𥋸,ươ ầ ấ đấ à 
料 牢 朱 沛 𨑗 𠁀 買 饒,ệ   ả ê đờ ấ 
𧊉 浪 𦋦 之 𥹰,ướ ằ   â
催 停 迡 𫏾 邀 𡢐 女 情,ô đừ ì ướ ê  ữ ì
節 皮 蓮 𦬶 桃 絲,ế ừ  ó đà ơ
𩙌 春 海 香 迻 𠃣 𡗉,ó â â ươ đư í ề
題 詩 吏 𢪀 𤾓 朝,đề ơ ạ ĩ ă ề
𧡊 𡗶 坦 吏 勉 腰 每 塘,ấ ơì đấ ạ ế ê ọ đườ
𠊛 䑓 閣 几 衡,ườ đà á ẻ à
𠊛 精 武 略 几 詳 文 韜,ườ  ũ ượ ẻ ườ ă 
𠊛 耕 牧 几 漁 樵,ườ  ụ ẻ ư ề
𠊛 醝 道 几 腰 才 情,ườ  đạ ẻ ê à ì
如 富 濁 与 貧 清,ư ú ọ ữ ầ 
庒 戈 造 物 磋 情 性 朱,ẳ  ạ ậ â ì í 
唭 台 事 柴 修,ườ  ự ầ 
𪩪 經 最 偈 爫 愚 䐘 𠁀,ớ  ố ệ à  ẹ đờ
厨 初 𦖑 固 尼,ù ư  ó ơ
庒 松 林 拱 窒 潙 清 光,ẳ ù â ũ ấ ờ  
𨕭 上 殿 𠁑 行 廊,ê ượ đệ ướ à 
各 座 𦬑 觥 墻 花 浰,á ò ở  ườ  ơ
椿 嘹 竹 化 隊 尼,ô  ú ó đò ơ
𫔳 慈 易 遣 胣 𠊛 絲 紅,ử ừ ễ ế ạ ườ ơ ồ
女 牢 塊 㗂,ữ  ỏ ế
決 𢚸 𣘈 鉄 底 名 𥪝 𠁀,ế ò  ắ để   đờ
香 皮 外,ươ ừ à
𥋷 𥉫 㐌 𧡊 𠊛 情 鍾,á ô đã ấ ườ ì 
月 花 堆 𡨸 憹,ệ  đô ữ ù
庒 符 𧆄 㐌 迷 𢚸 杏 春,ẳ ù ố đã ê ò ạ â
花 浪 𣷭 愛 源 恩, ằ ể á ồ â
計 牢 朱 掣 餒 塘 𨤮 賖,ể   ế ỗ đườ ậ 
庒 生 拱 㗂 𬁖 沙,ẳ  ũ ế  
庒 𦹳 拱 世 花 㭌 艚,ẳ ơ ũ ể  ư ầ
㐌 算 用 斫 𪽋 侯,đã  ụ ướ ư ầ
双 離 菓 𣷭 溇 坤 𨃝,  ả ể â ô ò
固 埃 别 餒 尼 朱,ó  ế ỗ à 
𠬠 𨉓 強 𢪀 強 𢗼 添 強,ộ ì à ĩ à  ê à
責 埃 牢 拯 料 塘,á   ẳ ệ đườ
𬁖 才 低 曲 江 狹 回, à đâ ú  ẹ ò
芇 𣷭 𢌌 滝 𨱽,à ể ộ ô à
少 之 竜 鳳 約 願,ế ì  ượ ướ ề
隻 船 杜 𣷷 容 营,ế ề đỗ ế  
徐 朱 特 客 鍾 情 𨀈 𫥨,ờ  đượ á  ì ướ 
𧊉 浪 此 𡑰 花,ướ ằ ử ườ 
戈 𨔈 風 景 䀡 𫥨 世 芇, ơ  ả   ế à
吨 低 固 客 媽 桃,đồ đâ ó á á đà
朱 𢧚 𠇍 沛 尋 𠓨 典 低, ê ấ ả ì à đế đâ
悲 𣉹 鵉 鳳 逞 排,â ờ  ượ á ầ
桃 東 㦖 𠳨 柳 西 𠳒,đà đô ố ỏ ễ â ờ
𢪀 牢 唉 客 章 臺,ĩ  ỡ á ươ đà
些 𫢩 仍 几 𠊚 才 名,  ữ ẻ ườ à 
爫 𢧚 功 業 齊 𡗶,à ê ô ệ ầ ờ
史 撑 群 劄 𠰘 𠁀 群 碑,ử  ò é ệ đờ ò 
𣇫 𠸗 固 没 聖 兒,ở ư ó ộ á 
𠸜 𪜀 𣱆 𪜀 空,ê à ọ à ô
女 才 聘 𠇍 朱 生,ữ à á ấ  
如 𩙌 如,ư ó ư
𢪀 牢 朱 院 𤾓 塘,ĩ   ẹ ă đườ
拯 涅 𥒥 派 鐄 麻 催,ẳ á đá  à à ô
𢪀 浪 𢝙 丕 麻 𨔈,ĩ ằ  ậ à ơ
㐌 𨔈 固 少 之 尼 有 情,đã ơ ó ế ì ơ ữ ì
埃 喂 渚 倍 誇 𠇮, ơ ớ ộ  ì
春 群 𡗋 几 才 名 𨔍 𠁀,â ò ắ ẻ à  ạ đờ
英 㛪 義 𨱽,  ĩ à
空 調 執 責 固 勾 和 諧,ô đề ấ á ó â à à
呐 爫 𢗖 磊 𢫝 𨱽,ó à ầ ỗ  à
𢚸 𥪝 𢧚 忍 𩈘 外,ò  ê ẫ ặ à
媄 吒 腰 恄 空 斤,ẹ  ê é ô â
停 誇 𢚁 𠤆 分 皮 麻,đừ  ậ ớ â ì à
擬 𥪝 𧖱 𧗅 𦛌 𫅷,ĩ  á ủ ộ à
丕 䀡 錢 𧵑 𪽣 如 空,ậ  ề ủ ộ ư ô
勤 時 𫽄 旦 餒 窮,ầ ờ ẳ đế ỗ ù
𢧚 𤯺 能 世 停 𢫝 制,ê ê ă ế đừ  ơ
儉 時 𫽄 旦 餒 𬥣,ệ ờ ẳ đế ỗ è
英 㛪 喂,  ơ
英 㛪 喂,  ơ
𢧚 秦 便 世 停 消 荒 咦,ê ầ ệ ế đừ ê  ì
搓 運 局 世, ầ ộ ế
景 厨 殿 怒 停 𠫾,ả ù đề ọ đừ đ
𢬱 機 𡗶,é ơ ờ
童 骨 意 停 迷 麻 𣈙,đồ ố ấ đừ ê à ầ
𤇮 停 底 㴜 空 咍,ế đừ để ẩ ô 
𢪀 朱 歇,ĩ  ế
粓 淶 𥺊 擺 抇 𣦍 倍 傍,ơ ơ ạ ã ặ  ộ à
坤 買 咹 𠊛,ô ớ ă ườ
㳥 𧡟 爭 来 𣼽 環 球 𠊚 闷 怒,ó ạ   á à ầ ườ ố ọ
𡛔 𤳇 𡎥 𠤆 鐘 床,á  ồ ớ  ườ
迻 咦 抵 帝 𫽄 常 𢭂 𢬣,đư ì để đấ ẳ ườ  
𨉟 麻 拱 讓 𠊛,ì à ũ ườ ườ
敬 皮 歲 作 腰 類 疎 癡,í ề ổ á ê  ơ â
塘 交 涉 𫼳 𨕭 大 陸,đườ  ệ  ê đạ ụ
㗂 湖 仍 渃 群 潙,ế ồ ư ướ ò ơ
花 蓮 㐌 沛 葛 淋,  đã ả á ầ
槾 桃 妬 沛 渃,ậ đà đó ả ướ
妬 群 𢧚 價 買 𤾓 澄,đó ò ê á ấ ă ừ
花 𦖑 咳 𡂱 如,   đắ ư
愁 𥢆 吏 底 朝 𦝄 𥙩 𢚸,ầ ê ạ để ề ă ấ ò
催 催 𢪀 吏 朱 穷,ô ô ĩ ạ  ù
景 情 兑 典 𪀄 篭 買,ả ì đá đế  ồ ấ
之 𦑃 花 桃,ì á  đà
㗂 𧵆 賖 𧘇 覩 𠓨 朱 埃,ế ầ  ấ đổ à  
否 戈 催 𨅸 吏 𡎢,ũ  ô đứ ạ ồ
汫 台 於 𫏾 前 堂,ế  ở ướ ề đườ
脉 𣻆 琥 珀 渃 羕 水 晶,ạ ô ổ á ướ ườ ủ 
𢪀 𣳮 瀝 塵 情,ĩ ử ạ ầ ì
𨆝 凡 牢 俸 趂 觥 景 纒,ố à  ỗ ấ  ả ề
花 唭 月 哏 亇 沉 㕍 沙, ườ ệ ẹ á ầ ạ 
𨕭 明 蕩 外 軒,ê ừ đã à ê
占 包 魂 梅 𥊚 𥇀,ê  ồ  ơ à
朝 清 新 那,ề  â à
𧊉 浪 倍 鐄,ướ ằ ộ à
催 停 𥙩 每 塘 庒 𢧚,ô đừ ấ ọ đườ ẳ ê
𢖵 之 欣 女 𢖵 縁,ớ ì ơ ữ ớ ê
𪩪 供 果 𤼸 花 隊 𣈗,ớ ú ả â  đò à
𠦳 鐄 渚 易 覩 𡊰 𢚸,ì à ư ể đủ đề ò
固 香 䏾 𦝄 𧷺,ó ươ ó ă ò
師 占 俸 鄭 念 西,ư  ỗ ạ ề â
滝 銀 渚 北 衝 梂,ô â ư á  ầ
意 醝 味 道 机 禅,ấ  ị đạ ơ ề
𦛌 蟳 𠃩 曲 𤋵 油 如 汙,ộ ằ í ú ã ầ ư 
強 𦖑 猿 唿 強 愁,à  ượ ó à ầ
魂 枚 魄 桂 矧 疎,ồ  á ế ẩ ơ
聀 鐄 𧊉 㕸,ấ à ướ ắ
挨 𨕭 摱 𠳨 𦝄 𫅷, ê ượ ỏ ă à
縁 初 固 世 尼,ê ư ó ế à
箕 朱 蒂 陳 低 仍 𠊛,  đấ ầ đâ ữ ườ
為 埃 禁 𩙌 垠 滝,  ấ ó â ô
爫 朱 牛 女 𡗶 蒙 𨖅 求,à  ư ữ ờ   ầ
欺 彈 六, đà ú
句 傳 初,â ệ ư
味 蘭 桂 称 渚,ù  ế ứ ư
朱 𥙩 𨑮, ấ ươ
情 𦋦 𥆾,ì  ì
冰 傾 𫢩 待 枚 尋,â â  đợ  ì
計 功 别 𠇍 𠦳 功,ể ô ế ấ ì ô
責 埃 拯 院 𡨸 從,á  ẳ ẹ ữ ồ
筭 𦖑 英 燕 負 𢚸 故 人,   ế ụ ò ố â
為 堆 𡨸 朱 陳,ì đô ữ â ầ
當 干 滝 渃 沙,đươ ơ ô ướ 
朱 𢧚 晋 埕 秦 𣼽, ê ấ ì ầ ẳ
𢶢 樔 吏 妬 庒 戈 為 情,ố à ạ đó ẳ  ì ì
厨 芇 𫢋 拯 䧏 生,ù à ậ ẳ á 
花 𦹳 埃 拯 梗 麻 𨔈, ơ  ẳ à à ơ
呐 𦋦 芒 㗂 𡗋 𠳒,ó   ế ắ ờ
淹 𦋦 辰 𢚸 𠊚 世,ê  ì ò ườ ế
𫢩 咹 槾 者 桃, ă ậ ả đà
於 𠁀 忠 厚 買 咍,ở đờ  ậ ớ 
斗 摸 斤 半 堆 𢬣 公 平,đấ  ủ á đô  ô ì
𠓀 牢 𡨺 𢚸 誠,ướ  ữ ò à
勾 謹 𢯢 𨉟 那,â ẩ ử ì 
停 𧵆 仍 几 佞 些,đừ ầ ữ ẻ ị 
停 信 𠳒 呐 讒 坡 麻 𪬃,đừ  ờ ó è  à ầ
貪 之 丐 利 𡮈 尼,  á ợ ỏ à
求 之 丐 㗂 𠸦 咍 買 𠁀,ầ  á ế   ấ đờ
恨 𢜠 仕 謹 吣 唏,ậ ừ ẽ í ă ơ
恄 腰 停 固 如 偏 𢚸,é ê đừ ó ư ê ò
㤕 傷 屡 蜆 弹 虫,ó ươ ũ ế đà ù
𢜝 𡗶 𫳵 𪾋 負 穷 𫗃 湄,ợ ờ  á ụ ù ó ư
停 用 絏 𡨸 仍 詞,đừ ù ấ ữ ữ ờ
箕 𠸜 䝨 聖 包 𣇞 监 輕,ì ê ề á  ờ á 
蜍 先 祖 沛 精 誠,ờ ê ổ ả  à
待 𠊛 侯 下 固 情 寛 容,đã ườ ầ ạ ó ì  
𠫾 𣎀 𥙩 𤒘 麻 𢫝,đ đê ấ đố à 
𧵑 时 黙 𧵑 𨉟 空 料 𨉟,ủ ì ặ ủ ì ô ề ì
𢚸 淹 朗 氣 和 平,ò ê ặ í à ì
恕 𠊛 麻 拱 責 𨉟 買 衝,ứ ườ à ũ á ì ấ 
𣃣 𣈜 佻 𧺀,ừ à đà ắ
皮 外 媒 縁 𥪝 品 平,ề à ố ê  ẩ ì
家 風 沛 認 朱 伶,  ả ậ  à
吏 䀡 性 與 𫅜 爫 𫳵,ạ  í ữ à à 
媄 吒 順 奇 𤾓 朝,ẹ  ậ ả ă ề
信 𠫾 信 吏 别 包 工 呈, đ  ạ ế  ô ì
丕 唉 客 春 撑,ầ ở á â 
我 沛 呐 底 情 尼 咍,ã ả ó để ì à 
爫 之 杏,à  ạ
麻 㳥 花 枚 牟,à ó   à
芇 滝 𦒹 頭,à ô á đầ
責 埃 牢 庒 𤏣 𢚸,á   ẳ ỏ ò
筭 此 英 䧺 特 庒, ử  ù đượ ă
撑 牢 拱 𧗱 棱,  ũ ề ừ
妬 埃 禁 𩙌 停 容 𣘃,đó  ấ ó đừ  â
底 些 覩 愁 朱 衝,để  đổ ầ  
箕 群 别 𩄲, ò ế â
唒 牢 瑟 拱 攄 琴,ẫ  ắ ũ ự ầ
花 浪 咳 客 知 音, ằ ỡ á  â
固 者 情 深 買,ó ả ì â ấ
閉 𫢩 信 𢭮 書 迻,ấ   ử ư đư
爫 之 朱 雁 别 𢚸,à   ạ ế ò
彈 箕 𣅶 𦝄 沖,đà  ú ă 
吟 詩 白 雪 打 宮 春 情,â ơ ạ ế đá  â ì
圣 他 圣 如 生,á  á ư 
爫 之 煩 底 情 矧 詩,à  ề để ì ẩ ơ
當 干 𢭸 幅 萌 疎,đươ ơ ự ứ à ư
花 𦹳 嗷 𠯪 𩙌 迻 冷 𨓡, ơ à ạ ó đư ạ ù
船 埃 箕 待 边 滝,ề   đợ ê ô
固 𢚸 渚 客 咍 空 咳 船,ó ò ớ á  ô ỡ ề
𧊉 箕 𨔍 渚 悁,ướ  ạ ử 
𢚸 群 㦖 𠳨 根 原 𠇍 𠳒,ò ò ố ỏ ă ê ấ ờ
船 渚 客 賖 𨔈,ề ớ á  ơ
空 仍 船 固 棟 尼 𣷷 尼,ô ư ề ó đó ơ ế à
花 箕 群 别 𤊰 𣘃,  ò ế é â
嬋 娟 牢 塊 細 𢬣 英 豪,ề ê  ỏ ớ   à
箕 染 渃 扶 桃, ộ ướ ù đà
㐌 磋 𢧚 𡶀 别 包 𣉹,đã â ê ú ế  ờ
𡦂 情 吏 平 𡽫,ữ ì ạ ằ 
春 群 情 群,â ò ì ò
𢝙 台 趣 味 清 閒,  ú ị  à
人 生 典 世 欣 戾 之,â  đế ế ơ ệ ì
𠦳 春 義 瀋 情 𥱬,ì â ĩ ắ ì 
沛 如 咹 於 時 咳 埃,ả ư ă ở ì ỡ 
花 浪 催 拱 别 𠊚, ằ ô ũ ế ườ
爫 之 女 世 唭 𠊚 吱,à  ữ ế ườ ườ ê
雪 霜 𢢆 几 𠫾 𧗱,ế ươ ẹ ẻ đ ề
箕 滝 怒 𡶀 𠳒 誓 渚 悁,ì ô ọ ú ờ ề ư ê
𧊉 浪 碑 鑿 群 𠸜,ướ ằ  ạ ò ê
埃 麻 負 泊 付 𨕭 紅, à ụ ạ ó ê ồ
悲 𣉹 𢚸 㐌 别 弄,â ờ ò đã ế ò
工 𡗶 拱 𡊰 功 𠊚,ô ờ ũ đề ô ườ
呐 臭 呐 虎 賖 吹,ó ấ ó ổ  ô
䀡 𥪝 賦 意 覩 𠳒 冬 迻,  ú ấ đủ ờ đ đư
𡄎 徐 課 怒 典 𣉹,ẫ ừ ở ọ đế ờ
𠇍 𠳒 句 𠸠 拯 差,ấ ờ â í ẳ 
朱 𢧚 固 達 𠇍 𠳒, ê ó đặ ấ ờ
唒 𠸦 拱 默 唒 唭 庒 牢,ẫ  ù ặ ẫ ườ ẳ 
𠊚 芇 種 性 𠊚 芇,ườ à ố í ườ à
意 埃 意 𧘇 攄 牢 朱 皮,ý  ý ấ ự   ừ
句 𠰘 𩵜 坤 皮,â ệ á ô ừ
達 麻 𠳒 沛 𢜝 埃 吱 唭,đậ à ờ ả ợ   ườ
傳 尼 劄 事 𠁀,ệ  é ự đờ
典 欺 從 且 䀡 制 之,đế   ả  ơ ì
𥠭 𢺹 色 鐄,ố  ắ à
工 役 𨇜 藝 學 藝 𦓿 藝 藝 𠏲,ô ệ đủ ề ọ ề ầ ề ề ợ
蜜 𠃣 𧋆 𡗉 𢪀 𠊚 些 堂 𦋦 飭 𢵋 爭,ậ í ồ ề ĩ ườ  đườ  ứ đ 
橘 爫 柑 𠹾 在 几 化 悲 𣉹 必 左,í à  ị ạ ẻ á â ờ ấ ưở
琴 𢝙 調 瑟 迢 逸 𦀊,ầ  đệ ắ ù ặ â
鸞 鐘 鳳 乍 刼 尼,  ượ ạ ế à
縁 𠄩 𡢻 㐌 排 刼 𠸗,ê  ợ đã ầ ế ư
𦝄 𫅷 結 𥿗 車 𢇁,ă à ế ỉ  ơ
監 昂 𠑕 𩈘 麻 疎 切 𢚸,á  ử ặ à ư ớ ò
𣌋 蜍 布 媄 𫯳,ớ ờ ố ẹ ồ
念 朝 尚 䀡 穷 家 親,ề ề ộ  ù  â
拱 停 債 命 夫 君,ũ đừ á ệ  â
払 如 𨅸 大 賓 買 羅,à ư đấ đạ â ớ à
姉 㛪 妯 處 朱 和,ị  â ử  à
罕 灰 買 住 漫 麻 穷 姑,ẳ  ấ ú ặ à ù ô
娘 侯 尼 沛 傷 朱,à ầ à ả ươ 
𡥵 𫯳 箕 𠤆 𠫅 紆 恄 悭, ồ  ớ à ò é 
払 麻 虚 𤵺 恍 忏,à à ư ạ à ê
几 闷 箕 空 埃 𥠭,ẻ ố  ô  ố
𬂙 妬 拱 别 𠊚 𠀧 𠎬 𧵑 𠀧 𩔗,ô đó ũ ế ườ  đấ ủ  à
坤 拱 𡗉 𤵺 拱 𡗋,ô ũ ề ạ ũ ắ
色 𤽸 色 𧹦 色,ắ ắ ắ đỏ ắ
𡥵 𤤰 𤤰 唒 𡥵 主 主 腰,   ấ  ú ú ê
埃 拱 𥢆 䏾 𢪀, ũ ê ụ ĩ
𧵑 英 英 𫼳 𧵑 娘 娘 捇,ủ    ủ à à á
𡎢 空 𧯶 𠹾 底 𢬣 乖,ồ ô á ị để  
窖 坦 補 荒 𧵑 産 𫼳 𤼸,é đấ ỏ  ủ ẵ  â
𣘃 𧹦 群 算 陶 歇 㭲,â đỏ ò  đà ế ó
埋 台 𡗶 𨇒 干 迷 秩 醒,  ờ ố ơ ê ợ ỉ
𨢇 唁 尼 㐌 戈 味,ượ   đã  ù
𤯩 𣩂 疾,ố ế ậ
吀 𭈷 曾 𣅶 𠹚 勸 仍 吝, ă ừ ú  ê ữ ầ
払 麻 敗 理 傷 輪,à à ạ í ươ â
𨉟 居 處 𨑮 分 順 和,ì ư ử ườ â ậ à
美 苗 停 頷 𨉟 些,ĩ ề đừ ợ ì 
傷 腰 停 𢚁 買 𫥨 𠊛,ươ ê đừ ậ ấ  ườ
特 𢀭 𢀨 𠤆 輕 𠁀,đượ à  ớ  đờ
固 才 𫳵 監 𢚁 才 世 油,ó à  á ậ à ế 
払 病 患 仍 傷,à ệ ạ ữ ươ
払 𬥣 𩛜 沛 於 朱 論 𠁀,à è đó ả ở  ọ đờ
払 麻 𢤞 恨 𬨨 𠳒,à à ờ ậ á ờ
催 停 辯 餒 沛 庒,ô đừ ệ ỗ ả ă
𡬶 勾 𠹚 𠳿 料 排 呐 能,ì â  ỉ ệ à ó ă
催 停 𠸥 𠲥 㖫,ô đừ ể ể ă
𠀧 𨑮 萝 𣋚 𠄻, ươ ồ ô ằ
𠯻 𠯻 𫗃 抱 喑 喑 𩆐,à à ó ã ầ ầ ấ
仍 𣎀 𣋚 意 鐘 床,ữ đê ô ấ  ườ
㐌 欺 咇 湥 渃 桃,đã  ắ ọ ướ đà
群 𭞾 諍 塊 災 殃 特,ò  á ỏ  ươ đượ
䏾 𢪀 役 爫 買,ụ ĩ ệ à ớ
𢩮 精 神 仃,ắ  ầ đừ
盧 如 翁 祠 𠓨 朝,ừ ư ô ừ à ề
焒 情 拉 吏 𠤆 朝 世 之,ử ì ấ ạ ớ ề ế 
群 月 怒 花 箕,ò ệ ọ  
𢜝 塘 生 𦬑 固 欺 𧁷 𢚸,ợ đườ  ở ó  ó ò
咹 常 停 𬨨 𩛂 𢚸,ă ườ đừ á  ò
默 常 停 底 𫗃 東 律 𠓨,ặ ườ đừ để ó đô ọ à
𢬣 箕 停 固 𢱎 高,  đừ ó ớ 
蹎 箕 停 固 𧼋 料 𨀈 𣭻,â  đừ ó ạ ề ướ 
䏾 停 息 恨 兜 兜,ụ đừ ứ ậ đâ đâ
𠰘 停 呐 傳 𠰁 饒 輕 𠊛,ệ đừ ó ệ ã   ườ
㗂 滛 停 底 𠓨 𦖻,ế â đừ để à 
色 奸 邪 停 𢙇 眜 𥉫,ắ  à đừ à ắ ô
𫼳 胎 麻 𫽄 乾 𢫝,  à ẳ à ô
生 𡥵 𠓇 率 𢖮 空 愚 𪬡,  á ố ắ ô  è
花 箕 𧵆 𦬑 畑,  ầ ở đè
收 𣦍 𢩣 𥪰 怯 連,  ồ ạ é ề
𠶛 欺 冽 𡨺 欺 燶,ê  é ữ  ồ
㐌 𩂏 欺 𩙌 吏 防 欺 霜,đã   ó ạ ò  ươ
𫳵 𢧚 恨 𢤡 每 塘, ê ậ ỗ ọ đườ
𠶖 常 𠶛 𠶖 咹 常 𠶛 咹,ố ườ ê ố ă ườ ê ă
欺 𫏾 恪 悲 𣉹 吏 恪, ướ á â ờ ạ á
𢬭 咹 默 仃 之 𨇒 腐,đổ ă ặ đừ  ố ủ
如 禮 生 𠅎 𥄭 部 𢞂 唭,ư ễ  ấ ó ộ ồ ườ
庒 柴 牢 𠋥 爫 𢧚,ẳ ầ  à à ê
箕 高 等 箕 階,ì  đẳ ì 
事 學 行 䏾 噒 牢 朱 創,ự ọ à ụ ă   á
固 錢 摸 仙 拱 特,ó ề  ê ũ đượ
芇 中 州 芇 邊 省,à  â à ê ỉ
半 奔 𤾓 塘 渚 𪿒 賖 吹,á ô ă đườ ớ ạ  ô
𠏲 𦁼 咹 緆 𠏲 𤳰 咹 糊,ợ  ă ẻ ợ ẽ ă ồ
𬁖 朋 𠊚 䏾 信 𣦍, ằ ườ ụ  
利 欣 𧵑 抇 瀋 之 圖 攝,ợ ơ ủ ặ ấ  đồ ẹ
𠫾 覺 懺 瓢 𠫾 句 懺 櫓,đ á ắ ầ đ â ắ ỏ
况 之 學 芸 制,ố  ọ ề ơ
圖 爫 沛 𨇜 𢬣 空 渚 𢩽 𤍊 𨑮 𨑮,đồ à ả đủ  ô ư ẽ ỏ ườ ươ
呐 傳 生 涯 爫 𨕭,ó ệ   à ê
沛 𫯳 咹 炙 咹 腩,ả ồ ă ả ă 
几 罪 之 空 費 破,ẻ ộ ì ô í á
䀡 𥪝 團 体 𣇜 買 骨,  đà ể ổ ớ ố
沛 朱 終 䏾 翁 呐 𪃿 呐 𪆧,ả   ụ ô ó à ó ị
之 辰 沛 抵 来 涯,ì ì ả để â â
固 坤 辰 朱 饒,ó ô ì  
渚 𢪀 浪 些 呐 𠲝,ớ ĩ ằ  ó ố
𦓡 逴 魔 𡳵 魔 買,à ướ  ũ  ớ
沛 朱 論,ả  ọ
仃 制 仍 几 虚 荒,đừ ơ ữ ẻ ư 
𦓡 𤞼 𫅜 化 𤞼 卒,à ợ à á ợ ố
咹 菓 𢖵 几 𥠭 𣘃,ă ả ớ ẻ ồ â
𠇍 𠦳 𢆥 德 舜 恩 忙 𥘀 𨕭 𦠘,ấ ì ă đứ ấ â  ặ ê 
報 答 牢 朱 𥾽 特 願,á đá   ề đượ ệ
固 勃 買 糊,ó ộ ớ ồ
𠀧 萬 卷 棱 歐 𣷭 愛, ạ ể ừ â ể á
印 溇 𥪝 文 明 耒 買 𦋦 才, â  ă  ồ ớ  à
道 知 交 骨 沛 𠊛,đạ   ố ả ườ
𧵆 墨 辰 𧵆 畑 辰 創,ầ ự ì ầ đè ì á
塘 居 處 牢 朱 别 𡓃,đườ ư ử   ế ố
於 瓢 辰 𧷺 於 甕 辰 𨱽,ở ầ ì ò ở ố ì à
𡛔 固 𫯳 如 𧏵 固 圍,á ó ồ ư ồ ó â
𤾓 𢆥 院 道 唱 隨 案 玉 昂,ă ă ẹ đạ ướ ỳ á ọ 
沛 常 埃 庒 𢘝,ả ườ  ẳ ể
𡥵 固 吒 如 茹 抓 楃, ó  ư à  ó
墨 針 塘 孝 養 𨤔 班 觥 𨃴,ự ă đườ ế ưỡ ẻ   ó
𢚸 𨕭 𥉫 拱 添 𢝙,ò ê ô ũ ê 
渚 𧡊 㳥 𦓡 我 𢬣 𢴿,ớ ấ ó à ả  è
𪾋 𡅳 埃 别 𢪀 别 𢥈,á ê  ế ĩ ế 
𨅸 吏 凭 蹎 辰 罕 特,đứ ạ ữ â ì ẳ đượ
當 𠫾 光 𨀈 𫏈 塘 葚,đươ đ  ướ à đườ ậ
箕 仍 几 𤳰 坤 𤳰 窖,ì ữ ẻ ẽ ô ẽ é
爫 𢙲 𨀈 𢜝 空 耒,à ỡ ướ ợ ô ồ
𩛜 朱 𮖤 朱 𦹳,đổ  á  ơ
𧯶 如 埃 渃 濁 脿 𪂮,á ư  ướ đụ é ò
庒 𢪀 𡥵 丐 𨉓 𥘀 𢬣 鉊 鈽,ẳ ĩ  á ì ặ  ì ú
𡃊 台 汫 𤇮 固 神,ê  ế ế ó ầ
咹 固 啀 如 固 𢪀,ă ó  ư ó ĩ
群 𥪝 𠤆 𧵆 堆,ò  ớ ầ đô
生 𡥵 𫥨 悶 𢧚 𠊛,   ố ê ườ
㐌 功 餒 𩟻 吏 𠳒 勸 𡂰,đã ô ô ấ ạ ờ ê ă
停 刼 襖 𠤆 𠫅 𧜖,đừ é á ớ đầ ă
渚 算 事 𡗶 扒 鴶,ớ  ự ờ ắ é
扱 欺 辰 運 勢 𨖲 𩈘 巾,ặ  ì ậ ế ê ặ â
停 朱 𠮾 意 穷 咹 𦟐 尼,đừ  ọ ấ ù ă ỡ à
