nom,vi
丁巳元年漢元朔五年,đ ị ê ê á ê ó ũ ê
以吕嘉爲太傅,ĩ ữ   á ó
己未三年漢元狩元年,ỉ ù  ê á ê ú ê ê
夏五月晦日食,ạ ũ ệ ố ậ ự
壬戌六年漢元狩四年,â ấ ụ ê á ê ú ứ ê
春有星孛于東北,â ữ  ộ  đô ắ
夏長星出,ạ ườ  ấ
西方,â ươ
乙丑九年漢元𣇄元年,ấ ử ử ê á ê đỉ ê ê
戊辰十二年漢元𣇄四年,ậ ì ậ ị ê á ê đỉ ứ ê
初王爲世子入質於漢在長安娶邯郸樛氏女生子興,ơ ươ  ế ử ậ ấ ư á ạ ườ  ú à đ ù ị ữ  ử ư
及即位乃藏其先帝璽上書於漢請立樛氏爲后興爲世子,ậ ứ ị ã à ì ê đế ỉ ượ ư ư á ỉ ậ ù ị  ậ ư  ế ử
漢数使使者諷諭王入朝王惧入見要用漢法比内諸侯王固稱疾不從乃遣子次公入質,á ố ử ứ ả ú ụ ươ ậ ề ươ ụ ậ ế ê ụ á á ỉ ộ ư ầ ươ ố ư ậ ấ ò ã ể ử ứ ô ậ ấ
是歳王薨謚曰明王,ị ế ươ ă ỵ ế  ươ
子興立,ử ư ậ
哀王, ươ
在位一年,ạ ị ấ ê
母后宣治強臣專國弱年庸主何以堪之,ẫ ậ ê ị ườ ầ ê ố ượ ê  ủ à ĩ  
諱興明王次子也,ý ư  ươ ứ ử ã
是年王既即位尊母樛氏為太后,ị ê ươ ý ứ ị ô ẫ ù ị  á ậ
�太后未家明王時嘗與覇陵人安國少季通,ơ á ậ ị á  ươ ờ ườ ữ á ă â  ố ế ý ô
安國姓少季名, ố í ế ý 
是歳漢使安國少季來諭王及太后以入朝比内諸侯復今辨士諫大夫終軍等宣其辝勇士魏臣等輔其决衞尉路博德將兵屯桂陽待使者,ị ế á ử  ố ế ý  ụ ươ ậ á ậ ĩ ậ ề ỉ ộ ư ầ ụ  ệ ĩ á đạ   â đẳ ê ì ừ ũ ĩ ỵ ầ đẳ ụ ì ế ệ ý ộ á đứ ươ  đồ ế ươ đã ứ ả
時王年少樛后乃漢人少季至復與私通焉,ờ ươ ê ế ù ậ ã á â ế ý í ụ ữ ư ô ê
國人知之多不附太后,ố â   đ ấ ụ á ậ
太后恐乱?欲倚漢威勸王及群臣求内附,á ậ ủ ạ  ụ ỷ á  ổ ế ươ ậ ầ ầ ầ ộ ụ
即因漢使者上書請比内諸侯三歳一朝艅邊關,ứ â á ứ ả ượ ư ỉ ỉ ộ ư ầ  ế ấ ề ư ê 
漢帝許之賜王與丞相吕嘉銀印及内史中尉太傅印餘得自置,á đế ứ  ứ ươ ữ ừ ướ ữ  â ấ ậ ộ ử  ý á ó ấ ư đắ ự í
除其故�劓刑用漢法比内諸侯者,ừ ì ố  ị ì ụ á á ỉ ộ ư ầ ả
皆鎮撫之, ấ ủ 
己巳元年漢元𣇄五年,ỉ ị ê ê á ê đỉ ũ ê
王及太后飭治行装重齊爲入朝具,ươ ậ á ậ ứ ị à  ọ ề  ậ ề ụ
時宰相吕嘉年長長一作老歴相三朝宗族仕官為長吏者七十餘人男皆尚公主女皆嫁王之子弟宗室及蒼梧秦王有連其居國中甚得眾心愈於王,ờ ể ướ ữ  ê ưở ưở ấ á ã ị ướ  ề ô ộ ĩ   ưở ạ ả ấ ậ ư â   ượ ô ú ữ  á ươ  ử đệ ô ấ ậ ươ ô ầ ươ ữ ê ì ư ố  ậ đắ ú â ũ ư ươ
上書数諫王王弗聽因有叛心数稱疾不見,ượ ư ổ á ươ ươ ấ í â ữ ả â ổ ư ậ ấ ế
漢使者,á ứ ả
使者皆注意嘉勢位能誅,ứ ả  ú ý  ế ị ă 
王及太后亦恐嘉等先事𭛁欲令漢使者權謀誅嘉等,ươ ậ á ậ ệ ủ  đẳ ê ự á ụ ệ á ứ ả ề ư   đẳ
乃置酒請使者飲大臣皆侍坐飲,ã í ử ỉ ứ ả ẩ đạ ầ  ị ạ ẩ
嘉弟為將啐居宫外, đệ  ướ ươ ố ư  ạ
酒行太后謂嘉曰南越内属國之利也而相君若不便者何也以激怒使者,ử à á ậ ị  ế  ệ ộ ộ ố  ợ ã  ướ â ượ ấ ệ ả à ã ĩ í ộ ứ ả
使者狐疑相杖杖持也遂莫敢𭛁,ứ ả ồ  ươ ượ ượ ì ã ạ ạ ả á
嘉見耳目非是即起而出, ế ĩ ụ  ị ứ ở  ấ
太后怒欲鏦撞也嘉以矛王止之,á ậ ộ ụ  à ã  ĩ â ươ ỉ 
嘉遂出介分也其弟兵就舍稱疾不肯見王及使者陰與大臣謀作乱, ạ ấ ớ â ã ì đệ  ự á ư ậ ấ ẳ ế ươ ậ ứ ả â ữ đạ ầ ư á ạ
王素無意誅嘉嘉知之以故数月不𭛁,ươ ố ô ý      ĩ ố ổ ệ ấ á
太后欲獨誅嘉又力不能,á ậ ụ độ   ự ự ấ ă
漢,á
帝聞嘉不聽命王及太后孤弱不能制使者怯無决又以為王及太后已内附獨吕嘉為乱不足以興兵欲使荘參以二千往使,đế ă  ấ í ệ ươ ậ á ậ ô ượ ấ ă ế ứ ả ế ô ế ự ĩ  ươ ậ á ậ ĩ ộ ụ độ ữ   ạ ấ ú ĩ ư  ụ ử  â ĩ ị ê ã ứ
荘參曰以好徃数人足矣以武徃二千人無以為也, â ế ĩ ế ã ổ â ú ĩ ĩ ũ ã ị ê â ô ĩ  ã
往不可,ã ấ ả
漢帝乃罷參,á đế ã ã â
故濟北將韓千秋奮曰以一區區之越又有王太后為内應獨丞相吕嘉為害願得勇士三百人必斬嘉以報,ố ế ắ ướ à ê  ấ ế ĩ ấ    ệ ự ữ ươ á ậ  ộ ứ độ ừ ướ ữ   ạ ệ đắ ũ ĩ  á â ấ ả  ĩ á
於是漢使千秋與樛太后弟樛樂將二千人往入越境,ư ị á ử ê  ữ ù á ậ đệ ù ạ ươ ị ê â ã ậ ệ ả
吕嘉遂下令國中曰王年少太后本漢人也又與漢使者乱專欲内附盡持先王,ữ  ạ ạ ệ ố  ế ươ ê ế á ậ ả á â ã ự ữ á ứ ả ạ ê ụ ộ ụ ậ ì ê ươ
寳噐入献于漢以自媚多從仁乃相從之人也行至長安虜賣以為僮僕自取一時之利無顧趙氏社稷為萬世計慮之意,ả í ậ ế  á ĩ ự ị đ ò â ã ươ ò  â ã à í ườ  ỗ ạ ĩ  đồ ộ ự ú ấ ờ  ợ ô ố ệ ị ã ắ  ạ ế ế ự  ý
乃與其弗將卒攻王遂弑王與太后盡殺漢使者遣人吿蒼梧秦王及諸郡邑立明王長子術陽侯建德為王,ã ữ ì ấ ươ ố ô ươ ạ í ươ ữ á ậ ậ á á ứ ả ể â á ươ ô ầ ươ ậ ư ậ ấ ậ  ươ ưở ử ậ ươ ầ ế đứ  ươ
王已遇害謚曰哀王,ươ ĩ ộ ạ ỵ ế  ươ
使臣吳士連曰哀王之禍雖出於吕嘉而實兆于樛后,ử ầ ô ĩ ê ế  ươ  ạ  ấ ư ữ   ự ệ  ù ậ
夫女之色能覆人家國也多端其兆不可逆覩,ù ữ  ắ ă ú â  ố ã đ đ ì ệ ấ ả ị đổ
故先王必制大婚之禮必謹夫婦之端必别嫌明微蓽正位内外必閉出入之防必僃,ố ê ươ ấ ế đạ ô  ễ ấ ẩ  ụ  đ ấ ệ ề   ấ í ị ộ ạ ấ ế ấ ậ  ò ấ ị
三從之訓夫然後禍無由至, ò  ấ  ê ậ ạ ô  í
哀王年少不能防閉其母吕嘉當國内外之事寕不預知大國賔至接之有禮居之有次供億有数舘伴有人何至與母后通也母后深居宫中不預外事有事而出魚軒翟弗媚嬙陪從何至與使客通也嘉等與其撲燎原之火於方熾之中孰若杜禍乱之機於未兆之日之為愈也故曰為人君而不知春秋之義必冡首惡之名為人臣而不知春秋之義必𨺻篡弑之罪明王哀王吕嘉之謂也, ươ ê ế ấ ă ò ế ì ẫ ữ  đươ ố ộ ạ  ự  ấ ự  đạ ố â í ế  ữ ễ ư  ữ ứ  ứ ữ ố á ạ ữ â à í ữ ẫ ậ ô ã ẫ ậ â ư   ấ ự ạ ự ữ ự  ấ ư ê đị ấ ị ườ ồ ò à í ữ ứ á ô ã  đẳ ữ ì á ệ ê  ả ư ươ í   ụ ượ đỗ ạ ạ  ơ ư ị ệ  ậ   ũ ã ố ế  â â  ấ  â   ĩ ấ ủ ủ á    â ầ  ấ  â   ĩ ấ  á í  ộ  ươ  ươ ữ   ị ã
術陽王,ậ ươ ươ
在位一年趙氏社稷樛后傾之本既先援末從而顛,ạ ị ấ ê ệ ị ã ắ ù ậ   ả ý ê ệ ạ ò  đê
諱建德明王長子越妻之子也,ý ế đứ  ươ ưở ử ệ ê  ử ã
時冬十一月宰相吕嘉既立王而韓千秋兵入境破数小邑,ờ đô ậ ấ ệ ể ướ ữ  ý ậ ươ  à ê   ậ ả á ổ ể ấ
嘉乃開直道給食未至番禺四十里出兵擊千秋等滅之, ã  ự đạ ấ ự ị í ê  ứ ậ í ấ  í ê  đẳ ệ 
使人,ử â
函封漢使節置塞上即大庾嶺名好為謾辝欺詐之語也以謝罪𭛁兵守要害處,à  á ứ ế í á ượ ứ đạ ũ ĩ  ả  ạ ừ  á  ữ ã ĩ ạ ộ á  ủ ế ạ ứ
漢帝聞之遣伏波將軍路博德出桂陽楼船將軍杨僕出豫章戈船將軍嚴名嚴失其姓史出零陵下瀨將軍甲,á đế ă  ể ụ  ướ â ộ á đứ ấ ế ươ â ề ướ â ươ ộ ấ ự ươ  ề ướ â ê  ê ấ ì í ử ấ  ă ạ ạ ướ â á
名甲史失其姓下蒼梧馳義侯貴名貴史𭛁失其姓夜郎兵下牂牁江咸會番禺, á ử ấ ì í ạ ươ ô ì ĩ ầ ý  ý ử á ấ ì í ạ   ạ ườ   à ộ ê 
庚午元年漢元𣇄六年, ọ ê ê á ê đỉ ụ ê
冬漢楊僕精兵九千先陷尋陿破石門嘉積石於江曰石門得我粟船因維其船以数萬人待伏波將軍路博德,đô á ươ ộ   ử ê ê ã ầ ệ á ạ ô  í ạ ư  ế ạ ô đắ ã ú ề â  ì ề ĩ ố ạ â đã ụ  ướ â ộ á đứ
博德曰因道遠後期與楼船會至番禺,á đứ ế â đạ ễ ậ ì ữ â ề ộ í ê 
時有千餘人遂俱進,ờ ữ ê ư â ạ ụ ế
楊僕前至番禺,ươ ộ ề í ê 
王及嘉皆守城,ươ ậ   ủ à
楊僕自擇便居東南靣路博德居西北靣,ươ ộ ự ạ ệ ư đô  ệ ộ á đứ ư â ắ ệ
會暮僕攻敗之縱火燒城,ộ ộ ộ ô ạ  ú ả ê à
博德不知兵多少乃為營遣使招降,á đứ ấ   đ ể ã   ể ứ ê à
皆賜以印綬復縱令相招, ứ ĩ ấ ụ ụ  ệ ươ ê
楼船,â ề
將軍楊僕力攻反驅入路博德營軍,ướ â ươ ộ ự ô ả  ậ ộ á đứ  â
黎比也旦城中皆降,ê ỉ ã đá à   à
王及嘉與数百人夜走入海,ươ ậ  ữ ổ á â ạ ẩ ậ ả
博德又問降者知嘉所在遣人追之,á đứ ự ấ à ả   ở ạ ể â  
校尉司馬蘇弘得王越郎都󰏲一作孫都得嘉,ệ ý ư ã ô ằ đắ ươ ệ  đô ê ấ á ô đô đắ 
時下瀨戈船將軍兵及馳義侯所𭛁夜郎兵未下而我越已為路博德楊僕所平矣,ờ ạ ạ  ề ướ â  ậ ì ĩ ầ ở á ạ   ị ạ  ã ệ ĩ  ộ á đứ ươ ộ ở ì ĩ
時我越令三使者牽牛三百頭携酒一千鐘持交趾九真日南三郡戶籍迎降路博德因拜三使者為三郡太守治,ờ ã ệ ệ  ứ ả ê ư  á đầ ề ử ấ ê  ì  ỉ ử â ậ   ậ ộ ị ê à ộ á đứ â á  ứ ả   ậ á ú ị
民如故,â ư ố
遂以其地為南海秦故郡今明廣東是也蒼梧唐曰益州古甌貉我越之地鬱林秦桂林郡漢武更名合浦秦象郡廉州之属郡交趾九真日南秦象郡珠崖儋耳並在大海中,ạ ĩ ì đị   ả ầ ố ậ   ả đô ị ã ươ ô đườ ế í â ổ â ạ ã ệ  đị ấ â ầ ế â ậ á ũ á  ợ ố ầ ượ ậ ê â  ộ ậ  ỉ ử â ậ  ầ ượ ậ â  đ ĩ ị ạ đạ ả 
九郡,ử ậ
自是漢始,ự ị á ỷ
置制史太守,í ế ử á ú
黎文休曰吕嘉之諫哀王及樛太后使毋求為漢諸侯毋餘邊關可謂䏻重越矣,ê ă ư ế ữ   á  ươ ậ ù á ậ ử ô ầ  á ư ầ ô ư ê  ả ị ă ọ ệ ĩ
然諫不從󰒂當盡率群臣於朝廷靣諫帝漢帝越之利害庶幾哀王太后有所感悟,ê á ấ ò ĩ đươ ậ ấ ầ ầ ư ề đì ệ á đế á đế ệ  ợ ạ ứ ơ  ươ á ậ ữ ở ả ộ
若猶不從則當引𠧨避位不爾則用伊霍故事别選明王子一人代位使哀王得如太甲昌邑保全性命則進退不失,ượ  ấ ò ắ đươ ẫ ữ ị ị ấ ĩ ắ ụ  ắ ố ự ệ ể  ươ ử ấ â đạ ị ử  ươ đắ ư á á ươ ấ ả à í ệ ắ ế á ấ ấ
今乃弑其君以逞私怨又不能以子守國使越分裂而入臣漢人則吕嘉之罪有不容誅者矣, ã í ì â ĩ í ư á ự ấ ă ĩ ử ủ ố ử ệ â ệ  ậ ầ á â ắ ữ   ộ ữ ấ   ả ĩ
史臣吳士連曰五嶺之於我越者是為險塞國之門戶猶鄭之虎牢虢之下陽也,ử ầ ô ĩ ê ế ũ ĩ  ư ã ệ ả ị  ể á ố  ô ộ  ị  ổ  ắ  ạ ươ ã
帝越者固宜設險守國不可使之失也,đế ệ ả ố  ế ể ủ ố ấ ả ử  ấ ã
趙氏一失其守國亡綂絶土宇瓜分,ệ ị ấ ấ ì ủ ố  ố ệ ổ ũ  â
我越又分南北之勢成矣,ã ệ ự â  ắ  ế à ĩ
後有帝王之興地險已失復之必難,ậ ữ đế ươ  ư đị ể ĩ ấ ụ  ấ 
故徵女王雖能略定嶺南之地不能㨿得嶺險旋底於亡,ố ư ữ ươ  ă ượ đị ĩ   đị ấ ă ứ đắ ĩ ể à để ư 
士王雖復全盛然猶為當時諸侯未正位號没後又失之而丁黎李陳止有交州以南之地不復趙武之舊勢使然也,ĩ ươ  ụ à ị ê   đươ ờ ư ầ ị í ị ệ ộ ậ ự ấ   đ ê í ầ ỉ ữ  â ĩ   đị ấ ụ ệ ũ  ự ế ử ê ã
大越史記外紀全書卷之三,đạ ệ ử ý ạ ỷ à ư ể  
屬西漢紀,ộ â á ỷ
辛未漢元封元年,â ù á ê  ê ê
我越既属于漢漢以石戴爲九郡太守漢制以州領郡除珠崖耳皆在海中餘七郡属交州戴爲州太守西漢守任治所在龍淵即龍編東漢在麋冷即安朗及戴卒漢昭帝以周章代之,ã ệ ý ộ  á á ĩ ạ đá  ử ậ á ú á ế ĩ â ã ậ ừ â  ĩ  ạ ả  ư ấ ậ ộ  â đá  â á ú â á ú ệ ị ở ạ  ê ứ  ê đô á ạ ê  ứ ê ã ậ đá ố á ê đế ĩ  ươ đạ 
至王莽末交州牧鄧讓及諸郡閉境自守漢將岑彭素厚善讓與讓書陳漢家威德,í ươ ã ạ  â ụ đặ ượ ậ ư ậ ế ả ự ủ á ướ ầ à ố ậ ệ ượ ữ ượ ư ầ á   đứ
於是率交趾太守錫光及諸郡太守杜穆等遣使貢献于漢,ư ị ấ  ỉ á ú í  ậ ư ậ á ú đỗ ụ đẳ ể ử ố ế  á
漢悉封爲列侯,á ấ   ệ ầ
當時漢光武建武五年己丑也,đươ ờ á  ũ ế ũ ũ ê ỷ ử ã
錫光漢中人在,í  á  â ạ
交止敎民以禮義, ỉ á â ĩ ễ ĩ
復以任延爲九真太守,ụ ĩ â ê  ử â á ú
延宛人,ê ể â
九真俗以漁獵爲業不事耕種,ử â ụ ĩ ư ệ  ệ ấ ự  ủ
延乃敎民墾闢歲歲耕種百姓充給,ê ã á â ẩ ị ế ế  ủ á í  ấ
貧民無聘禮者延令長吏以下省俸祿以賑助之同時娶者二千人,ầ â ô í ễ ả ê ệ ưở ạ ĩ ạ ỉ ổ ộ ĩ ẩ ợ  đồ ờ ú ả ị ê â
視事四年召還,ị ự ứ ê ệ à
九真人爲之立祠,ử â â ị  ậ ừ
其生子置名皆曰任焉,ì  ử í   ế â ê
嶺南文風始二守焉,ĩ  ă  ỷ ị ú ê
己亥漢光武劉秀建武十五年,ỉ ợ á  ũ ư ú ế ũ ậ ũ ê
交趾太守蘇定爲政貪暴徵女王起兵攻之, ỉ á ú ô đị  í  ạ ư ữ ươ ở  ô 
右属于漢自辛未至己亥凣一百四十九年,ữ ộ  á ự â ù í ỷ ợ à ấ á ứ ậ ử ê
徵女王紀,ư ữ ươ ỷ
徵王,ư ươ
在位三年,ạ ị  ê
王甚雄勇逐蘇定建國稱王然以女主不能成再造之功,ươ ậ ù ũ ụ ô đị ế ố ư ươ ê ĩ ữ ủ ấ ă à á ạ  ô
諱側姓徵,ý ắ í ư
本姓雒峯州麋冷縣雒將之女朱鳶縣詩索之妻也,ả í ạ  â ê  ệ ạ ướ  ữ  ê ệ  á  ê ã
詩索亦雒將子两家子相爲婚姻綱目集覧以雒爲姓誤矣都麋冷麋音縻, á ệ ạ ướ ử ưỡ  ử ươ  ô â ươ ụ ậ ã ĩ ạ  í ộ ĩ đô ê  ê â 
庚子元年漢建武十六年, í ê ê á ế ũ ậ ụ ê
春二月王苦太守蘇定绳以法及讐定之殺其夫乃與其妹貳舉兵攻陷州治,â ị ệ ươ ổ á ú ô đị ằ ĩ á ậ ù đị  á ì  ã ữ ì ộ ị ử  ô ã â ị
定奔還,đị ô à
南海九真日南合浦皆應之畧定嶺南六十, ả ử â ậ  ợ ố  ứ  ượ đị ĩ  ụ ậ
五城自立爲王始稱徵姓焉,ũ à ự ậ  ươ ỷ ư ư í ê
辛丑二年漢建武十七年,â ử ị ê á ế ũ ậ ấ ê
春二月晦日食,â ị ệ ố ậ ự
漢以徵氏稱王舉兵攻陷城邑邊郡苦之乃命長沙合浦及我交州具車船修橋道通障溪儲粮榖拜馬援爲伏波將軍以扶樂侯刘隆爲副來侵,á ĩ ư ị ư ươ ử  ô ã à ấ ê ậ ổ  ã ệ ườ  ợ ố ậ ã  â ụ  ề  ề đạ ô ướ ê ữ ươ ố á ã ệ  ụ  ướ â ĩ ù ạ ầ ư   ó  â
壬寅三年漢建武十八年,â ầ  ê á ế ũ ậ á ê
春正月馬援沿海而進隨山刊道千餘里至浪泊上羅城西街之西名浪泊與王戰,â í ệ ã ệ ê ả  ế ỳ ơ  đạ ê ư í í ã ạ ượ  à â   â  ã ạ ữ ươ ế
王見虜󰟨大張自度烏合之󰕛恐不能支退保禁溪禁溪史作金溪󰕛亦以王女子慮不能勝敵遂走散,ươ ế ỗ ế đạ ươ ự độ ô ợ  ú ủ ấ ă  á ả ấ ê ấ ê ử á  ê ú ệ ĩ ươ ữ ử ự ấ ă ắ đị ạ ẩ á
國統復絶,ố ố ụ ệ
黎文休曰徵側徵貳以女子一呼而九真日南合浦及嶺外六十五城皆應之其立國稱王易如反掌可見我越形勢足致覇王之業也,ê ă ư ế ư ắ ư ị ĩ ữ ử ấ ô  ử â ậ  ợ ố ậ ĩ ạ ụ ậ ũ à  ứ  ì ậ ố ư ươ ị ư ả ưở ả ế ã ệ ì ế ú í á ươ  ệ ã
惜乎繼趙之後以至吳氏之前千餘年之間男子徒自低頭束手爲北人臣僕曾不愧二徵之女子吁可謂自棄矣,í ồ ế ệ  ậ ĩ í ô ị  ề ê ư ê    ử đồ ự đê đầ ú ủ  ắ â ầ ộ ằ ấ ý ị ư  ữ ử  ả ị ự í ĩ
右徵女王起庚子終任寅凣三年,ữ ư ữ ươ ở  í  â ầ à  ê
属東漢紀,ộ đô á ỷ
癸卯四年漢建武春正月十九年,ý ã ứ ê á ế ũ â í ệ ậ ử ê
徵女王及其妹貳與漢,ư ữ ươ ậ ì ộ ị ữ á
兵拒戰势孤遂皆陷没, ự ế ế ô ạ  ã ộ
馬援追擊其餘󰕛都陽等,ã ệ  í ì ư ú đô ươ đẳ
至居封縣降之乃立銅柱爲漢極𪽐,í ư  ệ à  ã ậ đồ ụ  á ự ớ
銅柱相傳在欽州古洞上,đồ ụ ươ ề ạ â â ổ â độ ượ
援有誓云銅柱折交州滅我越人過其下每以石培之遂成丘陵恐其折也唐馬總又建二銅柱於漢故處記著馬德以其爲伏波之裔今未詳所在左右二江合有其一援以西于縣有户三萬三千因請分爲封溪望海二縣漢帝從之,ệ ữ ệ â đồ ụ ế  â ệ ã ệ â á ì ạ ỗ ĩ ạ ồ  ạ à â ă ủ ì ế ã đườ ã ổ ự ế ị đồ ụ ư á ố ứ ý ứ ã đứ ĩ  ì  ụ   ệ  ị ườ ở ạ ả ữ ị  ợ ữ ì ấ ệ ĩ â  ệ ữ ộ  ạ  ê â ỉ â   ê ọ ả ị ệ á đế ò 
援又築蠒江城於封溪,ệ ự ú ù  à ư  ê
其城圓如蠒故以爲名,ì à ê ư ù ố ĩ  
我越遂属于漢,ã ệ ạ ộ  á
後三年援還,ậ  ê ệ à
土人哀慕徵女王立祠奉事之祠在福祿縣喝江社番禺舊地城亦有之,ổ â  ộ ư ữ ươ ậ ừ ụ ự  ừ ạ ú ộ ệ á  ã ê  ự đị à ệ ữ 
史臣吳士連曰徵氏憤漢守之虐奮臂一呼而,ử ầ ô ĩ ê ế ư ị ẫ á ú  ượ ấ í ấ ô 
我越國統幾乎復合其英雄氣槩𡸈獨於生時建國稱王没後能捍灾禦患,ã ệ ố ố ơ ồ ụ ợ ì  ù í á ở độ ư  ờ ế ố ư ươ ộ ậ ă ã  ự ạ
凣遭灾傷水旱禱之無不應,à   ươ ỷ ạ đả  ô ấ ứ
徵妹亦然,ư ộ ệ ê
蓋女有士行而其雄勇之氣在天地間不以身之没而有餒也,á ữ ữ ĩ ạ  ì ù ũ  í ạ ê đị  ấ ĩ â  ộ  ữ ỗ ã
大丈夫𡸈可不養其剛直正大之氣哉甲辰漢建武二十年,đạ ượ  ở ả ấ ưỡ ì ươ ự í đạ  í  á ì á ế ũ ị ậ ê
自此以後歷漢明帝章帝和帝殤帝安帝凣五世共八十二年惟明帝時南陽人李善守日南以惠愛爲政𢙇來異俗,ự ử ĩ ậ ị á  đế ươ đế à đế ươ đế  đế à ũ ế ộ á ậ ị ê   đế ờ  ươ â í ệ ú ậ  ĩ ệ á  í à  ị ụ
遷九真太守,ê ử â á ú
丙子漢順帝保永和元年,í í á ậ đế ả ĩ à ê ê
太守周僘以交州在九圍之外百,á ú  ưở ĩ  â ạ ử   ạ á
越之表上表請置方伯,ệ  ể ượ ể ỉ í ươ á
漢帝以僘爲刺史都監郡縣,á đế ĩ ưở  ứ ử đô á ậ ệ
丁丑漢永和二年,đ ử á ĩ à ị ê
日南象林蠻古越裳國界區憐等攻郡縣殺長吏,ậ  ượ â  ổ ệ ườ ố ớ  ê đẳ ô ậ ệ á ưở ạ
交州刺史樊演發州兵及九真兵萬餘人救之兵士憚遠役, â ứ ử à ễ á â  ậ ử â  ạ ư â ứ   ĩ đạ ễ ị
秋七月二郡兵反攻府治其󰟨轉盛, ấ ệ ị ậ  ả ô ủ ị ì ế ể ị
戊寅漢永和三年,ậ ầ á ĩ à  ê
夏五月侍御史賈昌與州郡併力討區憐等不克爲所攻圍歲餘兵毂不繼,ạ ũ ệ ị ự ử ả ươ ữ â ậ ị ự ả  ê đẳ ấ ắ ị ở ô  ế ư  ố ấ ế
漢帝召公卿百官及四府椽属問以方畧皆議遣將發荆楊,á đế ệ ô  á  ậ ứ ủ ê ộ ấ ĩ ươ ượ  ị ể ướ á  ươ
兖豫四萬人赴之,ệ ự ứ ạ â ó 
李固駁曰荆楊盗賊盤結不散長沙桂陽數被徵發如復擾動必更生患,í ố á ế  ươ đạ ặ à ế ấ á ườ  ế ươ ổ ị ư á ư ụ ễ độ ấ á  ạ
兖豫之人遠赴萬里詔書迫促必𦤶叛亡,ệ ự  â ễ ó ạ í ế ư á ú ấ í ả 
南州暑濕加以瘴癘致死亡者十必四五, â ử ấ  ĩ ướ ệ í ử  ả ậ ấ ứ ũ
遠涉萬李士卒疲勞此至嶺南不復堪鬪,ễ ệ ạ í ĩ ố ì  ử í ĩ  ấ ụ  đấ
軍行日三十里而兖豫去日南九千餘里三百日乃到,â à ậ  ậ í  ệ ự ứ ậ  ử ê ư í  á ậ ã đá
計人廪五升用米六十萬斛不計將吏驢馬之食,ê â ẫ ũ ă ụ ễ ụ ậ ạ ộ ấ ê ướ ạ ư ã  ự
設軍所在死亡必󰕛既不足禦敵當復更發,ế â ở ạ ử  ấ ú ý ấ ú ự đị đươ ụ á á
此爲刻割腹心以補四肢,ử  ắ á ú â ĩ ổ ứ 
九真日南相去千里發其吏民猶且弗堪况乃苦四州,ử â ậ  ươ ứ ê í á ì ạ â  ả ấ  ố ã ổ ứ â
之卒以赴萬里之難哉前中郎將尹就討益州叛羗益州諺曰虜來尙可尹來殺我, ố ĩ ó ạ í  ạ  ề   ướ ã ự ả í â ả ữ í â ạ ế ỗ  ượ ả ã  á ã
後就徵還以兵付判州張喬喬因其將吏旬日之間殄滅群道,ậ ự ư à ĩ  ó á â ươ ề ề â ì ướ ạ ầ ậ   đễ ệ ầ đạ
此發將無益之效州郡可任之驗也,ử á ướ ô í  ệ â ậ ả ệ  ệ ã
宜更選有勇畧仁惠可任將帥者以爲刺史太守徙日南吏民北依交趾還募蠻夷使自相攻轉輸金帛以爲其資有能反間致降許以裂土之封, á ể ữ ũ ượ â ệ ả ệ ướ ý ả ĩ  ứ ử á ú ỉ ậ  ạ â ắ   ỉ à ộ   ử ự ươ ô ể â  ạ ĩ  ì ư ữ ă ả á í à ứ ĩ ệ ổ  
前并州刺史祝良性勇决張喬前在益州有破虜之功皆可任用,ề í â ứ ử ú ươ í ũ ế ươ ề ề ạ í â ữ á ỗ  ô  ả ệ ụ
四府必從固議,ứ ủ ấ ò ố ị
即拜良爲九真太守喬爲交州刺史,ứ á ươ  ử â á ú ề   â ứ ử
喬至開誠慰諭󰕛皆降服,ề í  à ý ụ ú  à ụ
良單車到九真示以威信降者數萬人,ươ đơ  đá ử â ị ĩ  í à ả ổ ạ â
甲申漢建康元年,á â á ế  ê ê
秋八月漢帝崩, á ệ á đế ă
冬十月日南復攻燒郡邑,đô ậ ệ ậ  ụ ô ê ậ ấ
九真刺史夏方招降者而撫諭之,ử â ứ ử ạ ươ ê à ả  ủ ụ 
尋轉桂陽太守以劉藻代之,ầ ể ế ươ á ú ĩ ư ả đạ 
庚子漢桓帝志元嘉二年, í á à đế í ê  ị ê
冬十一月九真郡人復屯據日南󰕛轉強盛,đô ậ ấ ệ ử â ậ â ụ đồ ứ ậ  ú ể ườ ị
時夏方已徙桂陽太守因復拜爲刺史,ờ ạ ươ ĩ ỉ ế ươ á ú â ụ á  ứ ử
方威惠素著及至日南眾聚萬餘人相率諸方降,ươ  ệ ố ứ ậ í ậ  ú ụ ạ ư â ươ ấ ư ươ à
戊午漢灵帝宏光和元年,ậ ọ á  đế à  à ê ê
夏四月州人及烏滸蠻久爲亂牧,ạ ứ ệ â â ậ ô ử  ử  ạ ụ
守周喁不能禦州人梁龍等因之起兵攻破郡縣有眾數萬人,ú   ấ ă ự â â ươ  đẳ â  ở  ô á ậ ệ ữ ú ổ ạ â
辛酉漢光和四年,â ậ á  à ứ ê
漢帝使蘭陵令會󰏲上󰔄人朱儁救喁,á đế ử  ă ệ ố ê ượ  â  ấ ứ 
道過本鄕募家兵及所調兵五千從两道入,đạ á ả ươ ộ   ậ ở đề  ũ ê ò ưỡ đạ ậ
